1,124
2,26252
3,14987
4,16335
5,12206
6,12727
7,14435
8,5386
9,11116
10,7590
11,7820
12,7307
13,3546
14,3540
15,2883
16,7832
17,6643
18,6552
19,3935
20,5399
21,5094
22,5314
23,4483
24,5756
25,3877
26,5630
27,4793
28,5932
29,4317
30,3473
31,2171
32,1563
33,5789
34,3594
35,3238
36,3068
37,3901
38,3067
39,4871
40,5108
41,3364
42,3522
43,3610
44,1474
45,2085
46,2668
47,2423
48,2510
49,1533
50,1507
51,1546
52,1324
53,1433
54,1470
55,1648
56,1756
57,2545
58,2046
59,1970
60,1560
61,966
62,768
63,801
64,1091
65,1203
66,1105
67,1347
68,1289
69,1133
70,971
71,965
72,1108
73,854
74,1035
75,676
76,1088
77,841
78,796
79,785
80,552
81,435
82,333
83,751
84,445
85,469
86,254
87,296
88,382
89,584
90,342
91,253
92,314
93,165
94,102
95,162
96,288
97,115
98,404
99,158
100,169
101,160
102,123
103,73
104,134
105,97
106,77
107,114
108,43
109,99
110,80
111,81
112,47
113,73
114,80
