1, ذ, 1 
1, ص, 2 
1, ق, 1 
1, غ, 2 
1, ع, 6 
1, ه, 5 
1, ح, 5 
1, د, 4 
1, س, 3 
1, ي, 14 
1, ب, 4 
1, ل, 22 
1, ا, 26 
1, ت, 3 
1, ن, 11 
1, م, 15 
1, ك, 3 
1, ط, 2 
1, ر, 8 
1, و, 4 
1, ض, 2 
2, ذ, 330 
2, ص, 155 
2, ث, 128 
2, ق, 553 
2, ف, 751 
2, غ, 75 
2, ع, 797 
2, ه, 1413 
2, خ, 191 
2, ح, 328 
2, ج, 200 
2, د, 458 
2, ش, 168 
2, س, 451 
2, ي, 1596 
2, ب, 918 
2, ل, 3201 
2, ا, 4720 
2, ت, 970 
2, ن, 2019 
2, م, 2192 
2, ك, 832 
2, ط, 99 
2, ئ, 92 
2, ء, 118 
2, ؤ, 56 
2, ر, 874 
2, ى, 208 
2, و, 2057 
2, ز, 107 
2, ظ, 62 
2, ض, 133 
3, ذ, 218 
3, ص, 88 
3, ث, 52 
3, ق, 306 
3, ف, 396 
3, غ, 62 
3, ع, 383 
3, ه, 767 
3, خ, 104 
3, ح, 171 
3, ج, 93 
3, د, 252 
3, ش, 86 
3, س, 227 
3, ي, 998 
3, ب, 574 
3, ل, 1892 
3, ا, 2661 
3, ت, 554 
3, ن, 1232 
3, م, 1246 
3, ك, 485 
3, ط, 50 
3, ئ, 64 
3, ء, 64 
3, ؤ, 43 
3, ر, 508 
3, ى, 95 
3, و, 1147 
3, ز, 67 
3, ظ, 36 
3, ض, 66 
4, ذ, 181 
4, ص, 122 
4, ث, 75 
4, ق, 255 
4, ف, 503 
4, غ, 62 
4, ع, 404 
4, ه, 883 
4, خ, 128 
4, ح, 196 
4, ج, 136 
4, د, 301 
4, ش, 82 
4, س, 306 
4, ي, 1123 
4, ب, 478 
4, ل, 1962 
4, ا, 3009 
4, ت, 561 
4, ن, 1334 
4, م, 1303 
4, ك, 582 
4, ط, 65 
4, ئ, 56 
4, ء, 67 
4, ؤ, 59 
4, ر, 489 
4, ى, 119 
4, و, 1297 
4, ز, 51 
4, ظ, 45 
4, ض, 101 
5, ذ, 182 
5, ص, 74 
5, ث, 59 
5, ق, 265 
5, ف, 291 
5, غ, 47 
5, ع, 338 
5, ه, 617 
5, خ, 85 
5, ح, 171 
5, ج, 93 
5, د, 231 
5, ش, 63 
5, س, 214 
5, ي, 844 
5, ب, 394 
5, ل, 1460 
5, ا, 2299 
5, ت, 392 
5, ن, 974 
5, م, 1039 
5, ك, 384 
5, ط, 52 
5, ئ, 45 
5, ء, 59 
5, ؤ, 26 
5, ر, 379 
5, ى, 82 
5, و, 919 
5, ز, 57 
5, ظ, 18 
5, ض, 53 
6, ذ, 207 
6, ص, 69 
6, ث, 58 
6, ق, 271 
6, ف, 294 
6, غ, 50 
6, ع, 369 
6, ه, 679 
6, خ, 75 
6, ح, 160 
6, ج, 117 
6, د, 199 
6, ش, 132 
6, س, 212 
6, ي, 849 
6, ب, 453 
6, ل, 1448 
6, ا, 2162 
6, ت, 404 
6, ن, 1010 
6, م, 1058 
6, ك, 468 
6, ط, 52 
6, ئ, 35 
6, ء, 79 
6, ؤ, 32 
6, ر, 504 
6, ى, 112 
6, و, 989 
6, ز, 66 
6, ظ, 48 
6, ض, 66 
7, ذ, 229 
7, ص, 97 
7, ث, 61 
7, ق, 356 
7, ف, 357 
7, غ, 67 
7, ع, 400 
7, ه, 733 
7, خ, 129 
7, ح, 164 
7, ج, 165 
7, د, 246 
7, ش, 83 
7, س, 299 
7, ي, 874 
7, ب, 508 
7, ل, 1527 
7, ا, 2651 
7, ت, 466 
7, ن, 1303 
7, م, 1161 
7, ك, 466 
7, ط, 56 
7, ئ, 53 
7, ء, 74 
7, ؤ, 28 
7, ر, 532 
7, ى, 107 
7, و, 1097 
7, ز, 41 
7, ظ, 43 
7, ض, 62 
8, ذ, 95 
8, ص, 29 
8, ث, 18 
8, ق, 109 
8, ف, 153 
8, غ, 25 
8, ع, 162 
8, ه, 289 
8, خ, 34 
8, ح, 52 
8, ج, 38 
8, د, 87 
8, ش, 27 
8, س, 70 
8, ي, 388 
8, ب, 173 
8, ل, 653 
8, ا, 894 
8, ت, 161 
8, ن, 437 
8, م, 455 
8, ك, 200 
8, ط, 22 
8, ئ, 25 
8, ء, 22 
8, ؤ, 14 
8, ر, 185 
8, ى, 37 
8, و, 474 
8, ز, 23 
8, ظ, 8 
8, ض, 27 
9, ذ, 145 
9, ص, 63 
9, ث, 31 
9, ق, 216 
9, ف, 308 
9, غ, 37 
9, ع, 313 
9, ه, 739 
9, خ, 86 
9, ح, 138 
9, ج, 102 
9, د, 207 
9, ش, 49 
9, س, 194 
9, ي, 707 
9, ب, 350 
9, ل, 1347 
9, ا, 1901 
9, ت, 307 
9, ن, 878 
9, م, 964 
9, ك, 301 
9, ط, 34 
9, ئ, 32 
9, ء, 23 
9, ؤ, 46 
9, ر, 412 
9, ى, 68 
9, و, 973 
9, ز, 55 
9, ظ, 29 
9, ض, 61 
10, ذ, 115 
10, ص, 32 
10, ث, 30 
10, ق, 181 
10, ف, 216 
10, غ, 20 
10, ع, 211 
10, ه, 352 
10, خ, 40 
10, ح, 98 
10, ج, 83 
10, د, 126 
10, ش, 42 
10, س, 129 
10, ي, 513 
10, ب, 238 
10, ل, 912 
10, ا, 1356 
10, ت, 253 
10, ن, 689 
10, م, 651 
10, ك, 260 
10, ط, 17 
10, ئ, 26 
10, ء, 39 
10, ؤ, 22 
10, ر, 255 
10, ى, 61 
10, و, 522 
10, ز, 26 
10, ظ, 32 
10, ض, 43 
11, ذ, 96 
11, ص, 60 
11, ث, 32 
11, ق, 180 
11, ف, 186 
11, غ, 34 
11, ع, 244 
11, ه, 384 
11, خ, 57 
11, ح, 86 
11, ج, 79 
11, د, 146 
11, ش, 43 
11, س, 122 
11, ي, 564 
11, ب, 283 
11, ل, 793 
11, ا, 1423 
11, ت, 235 
11, ن, 634 
11, م, 699 
11, ك, 256 
11, ط, 28 
11, ئ, 26 
11, ء, 49 
11, ؤ, 18 
11, ر, 323 
11, ى, 57 
11, و, 592 
11, ز, 35 
11, ظ, 24 
11, ض, 32 
12, ذ, 81 
12, ص, 61 
12, ث, 29 
12, ق, 193 
12, ف, 198 
12, غ, 28 
12, ع, 218 
12, ه, 384 
12, خ, 71 
12, ح, 101 
12, ج, 80 
12, د, 141 
